Altitud, superfície i població. Municipis
2021
"Font: Institut Cartogràfic de Catalunya; Idescat. Padró municipal d'habitants."
Nota: El Diari Oficial de la Generalitat de Catalunya (DOGC) va publicar el proppassat 2 de Juliol la Resolució PRE/2023/2021, de 29 de juny, per la qual es dona conformitat al canvi de  nom del municipi de Bigues i Riells, que passa a denominar-se Bigues i Riells del Fai.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15903&t=202100
Municipi;Comarca;Codi;Altitud (m);Superfície (km²);Població
Osor;Selva;171169;340;52,07;426
Ossó de Sió;Urgell;251575;391;26,29;196
Pacs del Penedès;Alt Penedès;081542;201;6,27;915
Palafolls;Maresme;081555;16;16,56;9646
Palafrugell;Baix Empordà;171175;64;26,88;23046
Palamós;Baix Empordà;171181;12;13,98;18196
Palau d'Anglesola, el;Pla d'Urgell;251581;250;12,27;2205
Palau de Santa Eulàlia;Alt Empordà;171194;86;8,44;111
Palau-sator;Baix Empordà;171215;20;12,39;323
Palau-saverdera;Alt Empordà;171208;78;16,45;1490
Palau-solità i Plegamans;Vallès Occidental;081568;130;14,93;14917
Pallaresos, els;Tarragonès;431009;120;5,13;4872
Pallejà;Baix Llobregat;081574;41;8,30;11636
Palma d'Ebre, la;Ribera d'Ebre;430995;335;37,92;334
Palma de Cervelló, la;Baix Llobregat;089058;100;5,46;3015
Palol de Revardit;Pla de l'Estany;171236;152;17,98;446
Pals;Baix Empordà;171241;55;25,83;2516
Papiol, el;Baix Llobregat;081580;135;8,95;4232
Pardines;Ripollès;171254;1226;31,05;166
Parets del Vallès;Vallès Oriental;081593;98;9,12;18907
Parlavà;Baix Empordà;171267;40;6,18;413
Passanant i Belltall;Conca de Barberà;431016;714;27,35;167
Pau;Alt Empordà;171289;33;10,70;588
Paüls;Baix Ebre;431021;378;43,83;563
Pedret i Marzà;Alt Empordà;171292;22;8,65;187
Penelles;Noguera;251641;276;25,51;443
Pera, la;Baix Empordà;171306;93;11,54;448
Perafita;Osona;081607;754;19,59;412
Perafort;Tarragonès;431037;125;9,54;1275
Peralada;Alt Empordà;171328;32;43,61;1945
Peramola;Alt Urgell;251654;566;56,17;348
Perelló, el;Baix Ebre;431042;142;100,67;2846
Piera;Anoia;081614;324;57,20;16411
Piles, les;Conca de Barberà;431055;676;22,39;218
Pineda de Mar;Maresme;081635;10;10,74;27974
Pinell de Brai, el;Terra Alta;431068;189;56,99;998
Pinell de Solsonès;Solsonès;251667;800;91,11;188
Pinós;Solsonès;251673;823;104,32;290
Pira;Conca de Barberà;431074;385;8,01;498
Pla de Santa Maria, el;Alt Camp;431080;381;34,99;2340
Pla del Penedès, el;Alt Penedès;081640;216;9,57;1306
Planes d'Hostoles, les;Garrotxa;171334;370;37,50;1711
Planoles;Ripollès;171349;1136;18,75;311
Plans de Sió, els;Segarra;259118;412;55,89;503
Poal, el;Pla d'Urgell;251689;216;8,88;667
Pobla de Cérvoles, la;Garrigues;251692;663;61,92;198
Pobla de Claramunt, la;Anoia;081653;265;18,54;2207
Pobla de Lillet, la;Berguedà;081666;843;51,45;1063
Pobla de Mafumet, la;Tarragonès;431093;98;6,21;4025
Pobla de Massaluca, la;Terra Alta;431107;357;43,40;341
Pobla de Montornès, la;Tarragonès;431114;56;12,29;2999
Pobla de Segur, la;Pallars Jussà;251713;524;32,83;3050
Poboleda;Priorat;431129;343;13,95;328
Polinyà;Vallès Occidental;081672;123;8,79;8494
Pont d'Armentera, el;Alt Camp;431135;349;21,67;493
Pont de Bar, el;Alt Urgell;250306;861;42,62;174
Pont de Molins;Alt Empordà;171352;43;8,66;518
Pont de Suert, el;Alta Ribagorça;251734;838;148,14;2331
Pont de Vilomara i Rocafort, el;Bages;081825;202;27,41;4016
Pontils;Conca de Barberà;431418;551;67,56;138
Pontons;Alt Penedès;081688;584;25,94;523
Pontós;Alt Empordà;171365;94;13,66;264
Ponts;Noguera;251728;363;30,52;2629
Porqueres;Pla de l'Estany;171371;148;33,52;4701
Porrera;Priorat;431140;316;28,83;428
Port de la Selva, el;Alt Empordà;171404;12;41,62;1010
Portbou;Alt Empordà;171387;28;9,22;1095
Portella, la;Segrià;251749;259;12,31;727
Pradell de la Teixeta;Priorat;431153;463;21,83;164
Prades;Baix Camp;431166;950;32,58;602
Prat de Comte;Terra Alta;431172;363;26,43;186
Prat de Llobregat, el;Baix Llobregat;081691;8;31,41;65532
Pratdip;Baix Camp;431188;245;36,27;680
Prats de Lluçanès;Osona;081712;707;13,78;2634
Prats de Rei, els;Anoia;081705;608;26,06;551
Prats i Sansor;Cerdanya;251752;1124;6,57;251
Preixana;Urgell;251765;328;21,52;391
Preixens;Noguera;251771;315;28,67;421
Premià de Dalt;Maresme;082303;142;6,57;10419
Premià de Mar;Maresme;081727;8;2,11;28523
Preses, les;Garrotxa;171390;474;9,39;1875
Prullans;Cerdanya;251790;1096;21,21;246
Puigcerdà;Cerdanya;171411;1202;18,92;9518
Puigdàlber;Alt Penedès;081748;239;0,40;551
Puiggròs;Garrigues;251804;334;9,90;265
Puigpelat;Alt Camp;431191;252;9,48;1196
Puig-reig;Berguedà;081751;455;45,75;4289
Puigverd d'Agramunt;Urgell;251811;366;17,00;230
Puigverd de Lleida;Segrià;251826;219;12,51;1384
Pujalt;Anoia;081764;770;31,43;206
Quar, la;Berguedà;081770;885;38,25;51
Quart;Gironès;171426;91;38,09;3856
Queralbs;Ripollès;170433;1236;93,47;191
Querol;Alt Camp;431205;565;72,26;544
Rabós;Alt Empordà;171432;106;45,10;206
Rajadell;Bages;081786;361;45,53;549
Rasquera;Ribera d'Ebre;431212;174;51,31;846
Regencós;Baix Empordà;171447;78;6,27;282
Rellinars;Vallès Occidental;081799;322;17,79;868
Renau;Tarragonès;431227;175;8,22;155
Reus;Baix Camp;431233;117;52,82;106084
Rialp;Pallars Sobirà;251832;725;63,30;658
Riba, la;Alt Camp;431248;263;7,99;575
Riba-roja d'Ebre;Ribera d'Ebre;431251;76;99,14;1117
Ribera d'Ondara;Segarra;259059;570;54,47;431
Ribera d'Urgellet;Alt Urgell;251850;702;106,96;947
Ribes de Freser;Ripollès;171450;912;41,87;1787
Riells i Viabrea;Selva;171463;96;26,98;4268
Riera de Gaià, la;Tarragonès;431264;28;8,76;1737
Riner;Solsonès;251863;830;47,10;281
Ripoll;Ripollès;171479;691;73,71;10721
Ripollet;Vallès Occidental;081803;79;4,33;39139
Riu de Cerdanya;Cerdanya;259139;1173;12,34;93
Riudarenes;Selva;171485;84;47,60;2283
Riudaura;Garrotxa;171498;572;23,60;511
Riudecanyes;Baix Camp;431270;195;17,10;1194
Riudecols;Baix Camp;431286;299;19,46;1225
Riudellots de la Selva;Selva;171501;98;13,12;2076
Riudoms;Baix Camp;431299;125;32,43;6617
Riumors;Alt Empordà;171518;7;6,54;244
Roca del Vallès, la;Vallès Oriental;081810;123;36,90;10676
Rocafort de Queralt;Conca de Barberà;431303;566;8,47;230
Roda de Berà;Tarragonès;431310;57;16,50;7127
Roda de Ter;Osona;081831;443;2,23;6449
Rodonyà;Alt Camp;431325;312;8,49;507
Roquetes;Baix Ebre;431331;14;136,92;8159
Roses;Alt Empordà;171523;5;45,91;19921
Rosselló;Segrià;251898;252;9,92;3186
Rourell, el;Alt Camp;431346;114;2,32;402
Rubí;Vallès Occidental;081846;123;32,30;78549
Rubió;Anoia;081859;629;48,00;236
Rupià;Baix Empordà;171539;66;5,29;296
Rupit i Pruit;Osona;089019;822;47,81;296
Sabadell;Vallès Occidental;081878;190;37,79;216204
Sagàs;Berguedà;081884;738;44,60;151
Salàs de Pallars;Pallars Jussà;251902;573;20,27;343
Saldes;Berguedà;081901;1215;66,40;283
Sales de Llierca;Garrotxa;171544;260;35,82;164
Sallent;Bages;081918;278;65,22;6717
Salomó;Tarragonès;431359;165;12,21;544
Salou;Tarragonès;439057;2;15,13;28512
Salt;Gironès;171557;83;6,64;32230
Sanaüja;Segarra;251919;409;32,99;396
Sant Adrià de Besòs;Barcelonès;081944;14;3,82;37283
Sant Agustí de Lluçanès;Osona;081957;816;13,22;92
Sant Andreu de la Barca;Baix Llobregat;081960;42;5,50;27175
Sant Andreu de Llavaneres;Maresme;081976;114;11,83;11150
Sant Andreu Salou;Gironès;171576;132;5,96;156
Sant Aniol de Finestres;Garrotxa;171833;289;47,73;353
Sant Antoni de Vilamajor;Vallès Oriental;081982;258;13,70;6383
Sant Bartomeu del Grau;Osona;081995;868;34,40;913
Sant Boi de Llobregat;Baix Llobregat;082009;30;21,47;83755
Sant Boi de Lluçanès;Osona;082016;813;19,53;573
Sant Carles de la Ràpita;Montsià;431362;11;53,72;14931
Sant Cebrià de Vallalta;Maresme;082037;71;15,68;3570
Sant Celoni;Vallès Oriental;082021;152;65,23;18176
Sant Climent de Llobregat;Baix Llobregat;082042;87;10,81;4193
Sant Climent Sescebes;Alt Empordà;171582;86;24,37;712
Sant Cugat del Vallès;Vallès Occidental;082055;124;48,23;94012
Sant Cugat Sesgarrigues;Alt Penedès;082068;266;6,24;1004
Sant Esteve de la Sarga;Pallars Jussà;251961;875;92,87;122
Sant Esteve de Palautordera;Vallès Oriental;082074;231;10,64;2997
Sant Esteve Sesrovires;Baix Llobregat;082080;183;18,56;7771
Sant Feliu de Buixalleu;Selva;171595;402;61,94;808
Sant Feliu de Codines;Vallès Oriental;082107;480;15,00;6406
Sant Feliu de Guíxols;Baix Empordà;171609;4;16,23;22210
Sant Feliu de Llobregat;Baix Llobregat;082114;25;11,82;45463
Sant Feliu de Pallerols;Garrotxa;171616;473;34,86;1456
Sant Feliu Sasserra;Bages;082129;617;22,36;617
Sant Ferriol;Garrotxa;171621;146;42,24;247
Sant Fost de Campsentelles;Vallès Oriental;082093;112;13,15;8997
Sant Fruitós de Bages;Bages;082135;247;22,20;8936
Sant Gregori;Gironès;171637;112;49,17;4012
Sant Guim de Freixenet;Segarra;251924;738;25,10;1059
Sant Guim de la Plana;Segarra;251977;556;12,45;184
Sant Hilari Sacalm;Selva;171642;803;83,28;5758
Sant Hipòlit de Voltregà;Osona;082153;536;0,92;3547
Sant Iscle de Vallalta;Maresme;081939;129;17,77;1438
Sant Jaume d'Enveja;Montsià;439023;7;60,79;3552
Sant Jaume de Frontanyà;Berguedà;082166;1072;21,26;28
Sant Jaume de Llierca;Garrotxa;171655;203;6,75;852
Sant Jaume dels Domenys;Baix Penedès;431378;213;24,45;2666
Sant Joan de les Abadesses;Ripollès;171674;773;53,67;3250
Sant Joan de Mollet;Gironès;171680;54;3,15;501
Sant Joan de Vilatorrada;Bages;082188;277;16,42;10871
Sant Joan Despí;Baix Llobregat;082172;10;6,17;34130
Sant Joan les Fonts;Garrotxa;171851;342;31,94;3050
Sant Jordi Desvalls;Gironès;171668;57;11,72;796
Sant Julià de Cerdanyola;Berguedà;089030;954;11,79;235
Sant Julià de Ramis;Gironès;171693;128;18,80;3612
Sant Julià de Vilatorta;Osona;082205;600;15,94;3152
Sant Julià del Llor i Bonmatí;Selva;179032;160;9,73;1314
Sant Just Desvern;Baix Llobregat;082212;122;7,81;19379
Sant Llorenç d'Hortons;Alt Penedès;082227;196;19,72;2459
Sant Llorenç de la Muga;Alt Empordà;171714;173;31,84;267
Sant Llorenç de Morunys;Solsonès;251930;925;4,34;985
Sant Llorenç Savall;Vallès Occidental;082233;466;41,11;2514
Sant Martí d'Albars;Osona;082251;629;14,73;107
Sant Martí de Centelles;Osona;082248;404;25,55;1186
Sant Martí de Llémena;Gironès;171729;256;43,13;663
Sant Martí de Riucorb;Urgell;259025;409;34,90;649
Sant Martí de Tous;Anoia;082264;465;39,21;1236
Sant Martí Sarroca;Alt Penedès;082270;291;35,27;3286
Sant Martí Sesgueioles;Anoia;082286;646;3,87;344
Sant Martí Vell;Gironès;171735;65;17,52;244
Sant Mateu de Bages;Bages;082299;569;102,92;614
Sant Miquel de Campmajor;Pla de l'Estany;171740;217;33,22;243
Sant Miquel de Fluvià;Alt Empordà;171753;28;3,51;755
Sant Mori;Alt Empordà;171766;51;7,53;157
Sant Pau de Segúries;Ripollès;171772;867;8,74;725
Sant Pere de Ribes;Garraf;082310;44;40,80;31525
Sant Pere de Riudebitlles;Alt Penedès;082325;246;5,38;2411
Sant Pere de Torelló;Osona;082331;621;55,13;2488
Sant Pere de Vilamajor;Vallès Oriental;082346;305;34,72;4671
Sant Pere Pescador;Alt Empordà;171788;5;18,45;2083
Sant Pere Sallavinera;Anoia;081897;588;22,02;159
Sant Pol de Mar;Maresme;082359;15;7,53;5538
Sant Quintí de Mediona;Alt Penedès;082362;326;13,84;2367
Sant Quirze de Besora;Osona;082378;587;8,10;2145
Sant Quirze del Vallès;Vallès Occidental;082384;188;14,07;20156
Sant Quirze Safaja;Moianès;082397;627;26,21;660
Sant Ramon;Segarra;251945;641;18,53;497
Sant Sadurní d'Anoia;Alt Penedès;082401;162;18,96;12840
Sant Sadurní d'Osormort;Osona;082418;531;30,60;76
Sant Salvador de Guardiola;Bages;080983;334;37,15;3243
Sant Vicenç de Castellet;Bages;082628;176;17,13;9868
Sant Vicenç de Montalt;Maresme;082649;143;8,05;6523
Sant Vicenç de Torelló;Osona;082652;555;6,56;2077
Sant Vicenç dels Horts;Baix Llobregat;082634;22;9,12;28115
Santa Bàrbara;Montsià;431384;79;28,15;3762
Santa Cecília de Voltregà;Osona;082439;519;8,63;179
Santa Coloma de Cervelló;Baix Llobregat;082444;73;7,49;8273
Santa Coloma de Farners;Selva;171805;142;70,64;13459
Santa Coloma de Gramenet;Barcelonès;082457;56;7,00;119289
Santa Coloma de Queralt;Conca de Barberà;431397;674;33,85;2702
Santa Cristina d'Aro;Baix Empordà;171812;30;67,55;5408
Santa Eugènia de Berga;Osona;082460;538;7,01;2259
Santa Eulàlia de Riuprimer;Osona;082476;568;13,82;1409
Santa Eulàlia de Ronçana;Vallès Oriental;082482;236;14,23;7538
Santa Fe del Penedès;Alt Penedès;082495;240;3,40;378
Santa Llogaia d'Àlguema;Alt Empordà;171827;42;1,94;378
Santa Margarida de Montbui;Anoia;082508;316;27,59;10192
Santa Margarida i els Monjos;Alt Penedès;082515;161;17,16;7664
Santa Maria d'Oló;Moianès;082589;542;66,21;1065
Santa Maria de Besora;Osona;082536;866;24,73;161
Santa Maria de Martorelles;Vallès Oriental;082567;181;4,51;882
Santa Maria de Merlès;Berguedà;082554;532;52,08;180
Santa Maria de Miralles;Anoia;082573;543;25,04;129
Santa Maria de Palautordera;Vallès Oriental;082592;208;16,94;9666
Santa Oliva;Baix Penedès;431401;101;9,65;3450
Santa Pau;Garrotxa;171848;496;49,01;1585
Santa Perpètua de Mogoda;Vallès Occidental;082606;74;15,83;26033
Santa Susanna;Maresme;082613;10;12,63;3650
Santpedor;Bages;081923;336;16,59;7566
Sarral;Conca de Barberà;431423;467;52,39;1549
Sarrià de Ter;Gironès;171864;70;4,16;5231
Sarroca de Bellera;Pallars Jussà;252017;1002;87,51;120
Sarroca de Lleida;Segrià;252000;201;42,18;357
Saus, Camallera i Llampaies;Alt Empordà;171870;86;11,36;865
Savallà del Comtat;Conca de Barberà;431439;825;14,80;53
Secuita, la;Tarragonès;431444;169;17,77;1728
Selva de Mar, la;Alt Empordà;171886;48;7,19;212
Selva del Camp, la;Baix Camp;431457;246;35,31;5694
Senan;Conca de Barberà;431460;652;11,70;42
Sénia, la;Montsià;430445;369;108,41;5530
Senterada;Pallars Jussà;252022;729;34,45;150
Sentiu de Sió, la;Noguera;250352;281;29,62;426
Sentmenat;Vallès Occidental;082671;207;28,80;9347
Serinyà;Pla de l'Estany;171903;188;17,38;1143
Seròs;Segrià;252043;103;85,75;1923
Serra de Daró;Baix Empordà;171910;15;7,91;235
Setcases;Ripollès;171925;1265;49,12;185
Seu d'Urgell, la;Alt Urgell;252038;691;15,45;12252
Seva;Osona;082690;663;30,40;3696
Sidamon;Pla d'Urgell;252056;232;8,12;755
Sils;Selva;171931;76;29,91;6349
Sitges;Garraf;082704;10;43,85;30217
Siurana;Alt Empordà;170524;33;10,53;179
Sobremunt;Osona;082711;881;13,79;78
Soleràs, el;Garrigues;252069;381;12,23;337
Solivella;Conca de Barberà;431476;489;21,37;640
Solsona;Solsonès;252075;664;17,70;9175
Sora;Osona;082726;716;31,73;211
Soriguera;Pallars Sobirà;252081;1258;106,39;431
Sort;Pallars Sobirà;252094;692;105,05;2181
Soses;Segrià;252108;118;30,16;1781
Subirats;Alt Penedès;082732;243;55,90;3149
Sudanell;Segrià;252115;152;8,69;844
Sunyer;Segrià;252120;211;12,66;334
Súria;Bages;082747;326;23,60;5923
Susqueda;Selva;171946;816;50,61;99
Tagamanent;Vallès Oriental;082763;354;43,31;325
Talamanca;Bages;082779;552;29,43;222
Talarn;Pallars Jussà;252154;572;27,95;489
Talavera;Segarra;252167;791;30,11;287
Tallada d'Empordà, la;Baix Empordà;171959;20;16,56;466
Taradell;Osona;082785;623;26,48;6687
Tarragona;Tarragonès;431482;68;57,88;135436
Tàrrega;Urgell;252173;373;88,36;17649
Tarrés;Garrigues;252189;578;13,01;105
Tarroja de Segarra;Segarra;252192;460;7,61;187
Tavèrnoles;Osona;082750;537;18,76;329
Tavertet;Osona;082802;869;32,49;113
Teià;Maresme;082819;128;6,63;6532
Térmens;Noguera;252206;208;27,54;1330
Terrades;Alt Empordà;171962;228;20,96;334
Terrassa;Vallès Occidental;082798;277;70,16;223011
Tiana;Maresme;082824;136;7,95;9009
Tírvia;Pallars Sobirà;252213;991;8,50;131
Tiurana;Noguera;252228;387;15,86;73
Tivenys;Baix Ebre;431495;13;53,54;900
Tivissa;Ribera d'Ebre;431508;309;209,43;1639
Tona;Osona;082830;596;16,54;8368
Torà;Segarra;252234;448;93,31;1209
Tordera;Maresme;082845;34;84,09;17788
Torelló;Osona;082858;508;13,48;14553
Torms, els;Garrigues;252249;476;13,75;145
Tornabous;Urgell;252252;289;24,17;826
Torre de Cabdella, la;Pallars Jussà;252271;1075;165,27;765
Torre de Claramunt, la;Anoia;082861;363;15,02;3852
Torre de Fontaubella, la;Priorat;431515;369;7,11;128
Torre de l'Espanyol, la;Ribera d'Ebre;431520;164;27,90;598
Torrebesses;Segrià;252265;287;27,45;298
Torredembarra;Tarragonès;431536;15;8,71;17057
Torrefarrera;Segrià;252287;214;23,49;4702
Torrefeta i Florejacs;Segarra;259078;475;88,91;602
Torregrossa;Pla d'Urgell;252304;232;40,52;2157
Torrelameu;Noguera;252311;201;10,93;759
Torrelavit;Alt Penedès;082877;202;23,65;1429
Torrelles de Foix;Alt Penedès;082883;367;36,72;2479
Torrelles de Llobregat;Baix Llobregat;082896;126;13,56;6126
Torrent;Baix Empordà;171978;44;7,96;160
Torres de Segre;Segrià;252326;119;50,61;2381
Torre-serona;Segrià;252332;197;5,89;383
Torroella de Fluvià;Alt Empordà;171984;9;16,85;726
Torroella de Montgrí;Baix Empordà;171997;31;65,93;12023
Torroja del Priorat;Priorat;431541;332;13,16;141
Tortellà;Garrotxa;172001;276;11,07;816
Tortosa;Baix Ebre;431554;12;218,51;33572
Toses;Ripollès;172018;1444;57,88;178
Tossa de Mar;Selva;172023;5;38,58;5930
Tremp;Pallars Jussà;252347;468;302,82;5893
Ullà;Baix Empordà;172044;21;7,29;1167
Ullastrell;Vallès Occidental;082900;342;7,31;2096
Ullastret;Baix Empordà;172057;49;11,09;258
Ulldecona;Montsià;431567;133;126,88;6317
Ulldemolins;Priorat;431573;650;38,17;400
Ultramort;Baix Empordà;172039;30;4,35;226
Urús;Cerdanya;172060;1263;17,42;210
Vacarisses;Vallès Occidental;082917;382;40,70;7082
Vajol, la;Alt Empordà;170144;546;4,71;88
Vall d'en Bas, la;Garrotxa;172076;510;90,67;3115
Vall de Bianya, la;Garrotxa;172082;367;93,62;1315
Vall de Boí, la;Alta Ribagorça;250432;1111;219,49;1060
Vall de Cardós;Pallars Sobirà;259010;898;56,20;382
Vallbona d'Anoia;Anoia;082922;289;6,45;1375
Vallbona de les Monges;Urgell;252385;481;34,14;236
Vallcebre;Berguedà;082938;1123;27,99;258
Vallclara;Conca de Barberà;431589;625;13,63;91
Vallfogona de Balaguer;Noguera;252402;235;26,97;1912
Vallfogona de Ripollès;Ripollès;171707;956;39,20;213
Vallfogona de Riucorb;Conca de Barberà;431592;573;10,94;77
Vallgorguina;Vallès Oriental;082943;222;22,13;3052
Vallirana;Baix Llobregat;082956;177;23,88;15438
Vall-llobrega;Baix Empordà;172095;49;5,45;918
Vallmoll;Alt Camp;431606;161;16,68;1793
Vallromanes;Vallès Oriental;082969;153;10,65;2594
Valls;Alt Camp;431613;215;55,28;24553
Valls d'Aguilar, les;Alt Urgell;259062;669;123,81;264
Valls de Valira, les;Alt Urgell;252398;740;171,25;800
Vandellòs i l'Hospitalet de l'Infant;Baix Camp;431628;281;102,67;6645
Vansa i Fórnols, la;Alt Urgell;259097;989;106,08;156
Veciana;Anoia;082975;564;38,90;179
Vendrell, el;Baix Penedès;431634;49;36,80;38891
Ventalló;Alt Empordà;172109;28;25,05;914
Verdú;Urgell;252424;434;35,79;880
Verges;Baix Empordà;172116;23;9,70;1183
Vespella de Gaià;Tarragonès;431649;191;18,04;458
Vic;Osona;082981;484;30,58;47319
Vidrà;Osona;172121;982;34,39;186
Vidreres;Selva;172137;93;48,05;8073
Vielha e Mijaran;Val d'Aran;252430;974;211,74;5674
Vilabella;Alt Camp;431652;254;18,19;705
Vilabertran;Alt Empordà;172142;19;2,29;969
Vilablareix;Gironès;172155;99;6,17;3225
Vilada;Berguedà;082994;757;22,34;424
Viladamat;Alt Empordà;172174;13;11,73;471
Viladasens;Gironès;172168;96;15,74;214
Viladecans;Baix Llobregat;083015;18;20,40;66707
Viladecavalls;Vallès Occidental;083008;274;20,09;7621
Vilademuls;Pla de l'Estany;172180;120;61,54;835
Viladrau;Osona;172207;821;50,73;1102
Vilafant;Alt Empordà;172214;54;8,36;5480
Vilafranca del Penedès;Alt Penedès;083054;223;19,65;39969
Vilagrassa;Urgell;252445;355;19,87;587
Vilajuïga;Alt Empordà;172235;31;13,13;1124
Vilalba dels Arcs;Terra Alta;431750;450;67,25;630
Vilalba Sasserra;Vallès Oriental;083067;200;6,05;758
Vilaller;Alta Ribagorça;252458;981;59,23;554
Vilallonga de Ter;Ripollès;172240;1067;64,20;386
Vilallonga del Camp;Tarragonès;431665;124;9,04;2385
Vilamacolum;Alt Empordà;172253;5;5,57;371
Vilamalla;Alt Empordà;172266;45;8,77;1154
Vilamaniscle;Alt Empordà;172272;169;5,46;205
Vilamòs;Val d'Aran;252477;1255;15,44;164
Vilanant;Alt Empordà;172288;98;16,87;399
Vilanova d'Escornalbou;Baix Camp;431671;226;17,16;582
Vilanova de Bellpuig;Pla d'Urgell;252483;290;13,98;1178
Vilanova de l'Aguda;Noguera;252496;409;53,68;194
Vilanova de la Barca;Segrià;252542;195;21,55;1127
Vilanova de Meià;Noguera;252509;633;105,24;427
Vilanova de Prades;Conca de Barberà;431687;893;21,51;108
Vilanova de Sau;Osona;083036;558;58,84;314
Vilanova de Segrià;Segrià;252516;255;8,51;1000
Vilanova del Camí;Anoia;083020;302;10,28;12736
Vilanova del Vallès;Vallès Oriental;089024;91;15,20;5535
Vilanova i la Geltrú;Garraf;083073;22;33,99;67458
Vilaplana;Baix Camp;431690;366;23,20;536
Vila-rodona;Alt Camp;431704;259;33,11;1299
Vila-sacra;Alt Empordà;172305;16;6,03;761
Vila-sana;Pla d'Urgell;252521;249;19,10;761
Vila-seca;Tarragonès;431711;45;21,64;22522
Vilassar de Dalt;Maresme;082140;142;8,86;9074
Vilassar de Mar;Maresme;082191;10;4,00;20936
Vilaür;Alt Empordà;172229;65;5,49;162
Vilaverd;Conca de Barberà;431726;269;12,61;445
Vilella Alta, la;Priorat;431732;327;5,15;131
Vilella Baixa, la;Priorat;431747;218;5,62;208
Vilobí d'Onyar;Selva;172333;122;32,59;3310
Vilobí del Penedès;Alt Penedès;083041;286;9,34;1128
Vilopriu;Baix Empordà;172327;82;16,38;230
Vilosell, el;Garrigues;252537;665;18,88;192
Vimbodí i Poblet;Conca de Barberà;431763;496;66,09;880
Vinaixa;Garrigues;252555;479;37,59;464
Vinebre;Ribera d'Ebre;431779;34;26,44;427
Vinyols i els Arcs;Baix Camp;431785;95;10,83;2193
Viver i Serrateix;Berguedà;083089;729;66,80;175
Xerta;Baix Ebre;430521;12;32,39;1159

